EmployeeNumber,Attrition,Age,Gender,MaritalStatus,DistanceFromHome,Education,EducationField,NumCompaniesWorked,TotalWorkingYears,TrainingTimesLastYear,Department,BusinessTravel,JobRole,JobLevel,OverTime,MonthlyIncome,HourlyRate,DailyRate,MonthlyRate,PercentSalaryHike,StockOptionLevel,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,JobInvolvement,PerformanceRating,YearsAtCompany,YearsSinceLastPromotion,YearsInCurrentRole,YearsWithCurrManager,
30,No,21,Male,Single,15,College,Life Sciences,1,0,6,Research & Development,Travel_Rarely,Research Scientist,1,No,1232,96,391,19281,14,0,Very High,High,Better,Best,High,3,0,0,0,0,
31,Yes,34,Male,Single,6,Below College,Medical,2,8,2,Research & Development,Travel_Rarely,Research Scientist,1,No,2960,83,699,17102,11,0,Low,Medium,Better,Better,High,3,4,1,2,3,
32,No,53,Female,Divorced,5,Bachelor,Other,4,26,3,Research & Development,Travel_Rarely,Manager,5,No,19094,58,1282,10735,11,1,High,High,Good,Best,High,3,14,4,13,8,
33,Yes,32,Female,Single,16,Below College,Life Sciences,1,10,5,Research & Development,Travel_Frequently,Research Scientist,1,Yes,3919,72,1125,4681,22,0,Low,Medium,Better,Good,Low,4,10,6,2,7,
35,No,42,Male,Married,8,Master,Marketing,0,10,2,Sales,Travel_Rarely,Sales Executive,2,No,6825,48,691,21173,11,1,Medium,High,Better,Best,High,3,9,4,7,2,
36,No,44,Female,Married,7,Master,Medical,3,24,4,Research & Development,Travel_Rarely,Healthcare Representative,3,No,10248,42,477,2094,14,1,Very High,Low,Better,Best,Medium,3,22,5,6,17,
38,No,46,Female,Single,2,Master,Marketing,3,22,2,Sales,Travel_Rarely,Manager,5,No,18947,83,705,22822,12,0,Low,Medium,Good,Best,High,3,2,2,2,1,
39,No,33,Male,Single,2,Bachelor,Medical,4,7,3,Research & Development,Travel_Rarely,Laboratory Technician,1,No,2496,78,924,6670,11,0,Very High,High,Better,Best,High,3,1,0,1,0,
40,No,44,Male,Married,10,Master,Other,2,9,5,Research & Development,Travel_Rarely,Healthcare Representative,2,Yes,6465,41,1459,19121,13,0,Very High,Very High,Best,Best,High,3,4,1,2,3,
41,No,30,Male,Single,9,College,Medical,1,10,5,Research & Development,Travel_Rarely,Laboratory Technician,1,No,2206,83,125,16117,13,0,High,Very High,Better,Bad,Medium,3,10,1,0,8,
42,Yes,39,Male,Married,5,Bachelor,Technical Degree,3,19,6,Sales,Travel_Rarely,Sales Representative,2,No,2086,56,895,3335,14,1,Very High,Very High,Best,Better,High,3,1,0,0,0,
45,Yes,24,Male,Married,1,Bachelor,Medical,2,6,2,Research & Development,Travel_Rarely,Research Scientist,1,Yes,2293,61,813,3020,16,1,Very High,Medium,Good,Bad,High,3,2,2,0,0,
46,No,43,Female,Divorced,2,College,Medical,1,6,3,Research & Development,Travel_Rarely,Research Scientist,1,No,2645,72,1273,21923,12,2,High,Very High,Good,Best,Very High,3,5,1,3,4,
47,Yes,50,Male,Married,3,College,Marketing,1,3,2,Sales,Travel_Rarely,Sales Representative,1,Yes,2683,86,869,3810,14,0,High,Low,Better,Better,Medium,3,3,0,2,2,
49,No,35,Female,Married,2,Bachelor,Marketing,1,2,3,Sales,Travel_Rarely,Sales Representative,1,No,2014,97,890,9687,13,0,Very High,Very High,Better,Bad,High,3,2,2,2,2,
51,No,36,Female,Married,5,Master,Life Sciences,9,6,3,Research & Development,Travel_Rarely,Research Scientist,1,Yes,3419,82,852,13072,14,1,Low,Medium,Best,Best,Medium,3,1,0,1,0,
52,No,33,Female,Married,1,Bachelor,Life Sciences,2,10,3,Sales,Travel_Frequently,Sales Executive,2,No,5376,42,1141,3193,19,2,Low,High,Better,Bad,Very High,3,5,1,3,3,
53,No,35,Male,Divorced,4,College,Other,1,1,3,Research & Development,Travel_Rarely,Laboratory Technician,1,No,1951,75,464,10910,12,1,Very High,High,Better,Better,High,3,1,0,0,0,
54,No,27,Female,Divorced,2,Master,Life Sciences,1,1,6,Research & Development,Travel_Rarely,Laboratory Technician,1,No,2341,33,1240,19715,13,1,Low,Very High,Better,Best,High,3,1,0,0,0,
55,Yes,26,Male,Single,25,Bachelor,Life Sciences,1,1,2,Research & Development,Travel_Rarely,Laboratory Technician,1,No,2293,48,1357,10558,12,0,High,Low,Good,Better,Low,3,1,0,0,1,
56,No,27,Male,Single,8,Bachelor,Life Sciences,1,9,0,Sales,Travel_Frequently,Sales Executive,3,No,8726,37,994,2975,15,0,High,Very High,Better,Best,High,3,9,1,8,7,
57,No,30,Female,Single,1,College,Medical,1,12,2,Research & Development,Travel_Frequently,Laboratory Technician,2,No,4011,58,721,10781,23,0,Very High,High,Better,Best,High,4,12,3,8,7,
58,Yes,41,Female,Married,12,Bachelor,Technical Degree,1,23,0,Research & Development,Travel_Rarely,Research Director,5,No,19545,49,1360,16280,12,0,High,Medium,Better,Best,High,3,22,15,15,8,
60,No,34,Male,Single,23,Master,Marketing,0,10,2,Sales,Non-Travel,Sales Executive,2,No,4568,72,1065,10034,20,0,High,Medium,Better,Better,High,4,9,8,5,7,
61,No,37,Male,Married,19,College,Life Sciences,4,8,1,Research & Development,Travel_Rarely,Research Scientist,1,No,3022,73,408,10227,21,0,Medium,Medium,Better,Bad,High,4,1,0,0,0,
62,No,46,Male,Single,5,Master,Marketing,4,14,4,Sales,Travel_Frequently,Sales Executive,2,Yes,5772,98,1211,20445,21,0,Very High,Low,Better,Better,High,4,9,0,6,8,
63,No,35,Male,Married,8,Below College,Life Sciences,1,1,2,Research & Development,Travel_Rarely,Laboratory Technician,1,No,2269,36,1229,4892,19,0,Very High,Very High,Better,Best,Very High,3,1,0,0,1,
64,Yes,48,Male,Single,1,College,Life Sciences,9,23,2,Research & Development,Travel_Rarely,Laboratory Technician,3,Yes,5381,98,626,19294,13,0,High,Low,Better,Best,Medium,3,1,0,0,0,
65,Yes,28,Male,Single,5,Master,Technical Degree,1,2,3,Research & Development,Travel_Rarely,Laboratory Technician,1,Yes,3441,50,1434,11179,13,0,High,High,Good,Better,High,3,2,2,2,2,
68,No,44,Female,Divorced,1,Doctor,Marketing,5,9,2,Sales,Travel_Rarely,Sales Executive,2,Yes,5454,75,1488,4009,21,1,Low,Medium,Good,Better,High,4,4,1,3,3,
70,No,35,Male,Married,11,College,Medical,2,10,3,Research & Development,Non-Travel,Healthcare Representative,3,Yes,9884,79,1097,8302,13,1,Low,High,Better,Better,Medium,3,4,2,0,3,
72,No,26,Female,Married,23,Bachelor,Marketing,7,5,2,Sales,Travel_Rarely,Sales Executive,2,Yes,4157,47,1443,21436,19,1,Very High,High,Good,Better,Medium,3,2,0,2,0,
73,No,33,Female,Single,1,College,Life Sciences,1,15,1,Research & Development,Travel_Frequently,Research Director,3,Yes,13458,98,515,15146,12,0,Very High,Low,Better,Better,High,3,15,8,14,12,
74,No,35,Male,Married,18,Doctor,Life Sciences,1,9,3,Sales,Travel_Frequently,Sales Executive,3,No,9069,71,853,11031,22,1,Low,Medium,Good,Best,High,4,9,1,8,8,
75,No,35,Female,Married,23,Master,Medical,3,4,3,Research & Development,Travel_Rarely,Laboratory Technician,1,Yes,4014,30,1142,16002,15,1,Low,High,Better,Better,High,3,2,2,2,2,
76,No,31,Male,Divorced,7,Master,Life Sciences,3,10,3,Research & Development,Travel_Rarely,Laboratory Technician,2,No,5915,48,655,9528,22,1,Very High,Very High,Good,Best,High,4,7,1,7,7,
77,No,37,Male,Divorced,1,Master,Life Sciences,1,7,2,Research & Development,Travel_Rarely,Manufacturing Director,2,No,5993,51,1115,2689,18,1,High,Low,Best,Better,Medium,3,7,0,5,7,
78,No,32,Male,Married,1,Bachelor,Medical,1,9,3,Research & Development,Travel_Rarely,Manufacturing Director,2,Yes,6162,33,427,10877,22,1,Very High,Low,Better,Good,High,4,9,7,8,8,
79,No,38,Female,Single,29,Doctor,Life Sciences,1,10,2,Research & Development,Travel_Frequently,Laboratory Technician,2,No,2406,50,653,5456,11,0,Very High,Very High,Better,Best,High,3,10,9,3,9,
80,No,50,Female,Divorced,7,College,Medical,5,29,2,Research & Development,Travel_Rarely,Research Director,5,Yes,18740,43,989,16701,12,1,High,Medium,Good,Best,Medium,3,27,13,3,8,
81,No,59,Female,Single,25,Bachelor,Life Sciences,7,28,3,Sales,Travel_Rarely,Sales Executive,3,No,7637,99,1435,2354,11,0,Low,Low,Good,Best,High,3,21,7,16,9,
83,No,36,Female,Divorced,8,Bachelor,Technical Degree,1,17,2,Research & Development,Travel_Rarely,Healthcare Representative,3,No,10096,59,1223,8202,13,3,High,High,Better,Good,High,3,17,12,14,8,
84,No,55,Female,Divorced,8,Bachelor,Medical,2,21,2,Research & Development,Travel_Rarely,Manager,4,Yes,14756,33,836,19730,14,3,High,Very High,Better,Better,High,3,5,0,0,2,
85,No,36,Male,Single,11,Bachelor,Life Sciences,1,6,3,Research & Development,Travel_Frequently,Manufacturing Director,2,No,6499,95,1195,22656,13,0,Medium,Medium,Better,Better,Medium,3,6,0,5,3,
86,No,45,Male,Divorced,7,Bachelor,Life Sciences,2,25,2,Research & Development,Travel_Rarely,Research Scientist,3,No,9724,59,1339,18787,17,1,Low,Medium,Better,Better,High,3,1,0,0,0,
88,No,35,Male,Married,1,Bachelor,Medical,4,5,2,Research & Development,Travel_Frequently,Research Scientist,1,No,2194,79,664,5868,13,1,Low,Medium,Good,Best,High,3,3,1,2,2,
90,Yes,36,Male,Married,9,Bachelor,Medical,0,2,0,Research & Development,Travel_Rarely,Research Scientist,1,Yes,3388,79,318,21777,17,1,High,Very High,Good,Bad,Medium,3,1,0,0,0,
91,No,59,Female,Single,1,Below College,Life Sciences,7,20,2,Sales,Travel_Frequently,Sales Executive,2,No,5473,57,1225,24668,11,0,High,Low,Good,Best,Medium,3,4,1,3,3,
94,No,29,Male,Married,2,Bachelor,Life Sciences,0,6,3,Research & Development,Travel_Rarely,Research Scientist,1,No,2703,76,1328,4956,23,1,Medium,High,Better,Best,High,4,5,0,4,4,
95,No,31,Male,Single,1,Master,Medical,1,1,4,Research & Development,Travel_Rarely,Research Scientist,1,No,2501,87,1082,18775,17,0,Medium,High,Better,Good,High,3,1,1,1,0,
96,No,32,Male,Married,1,Bachelor,Life Sciences,1,10,3,Research & Development,Travel_Rarely,Research Scientist,2,No,6220,66,548,7346,17,2,Medium,Medium,Better,Good,High,3,10,0,4,9,
97,No,36,Female,Married,6,Bachelor,Life Sciences,3,5,3,Research & Development,Travel_Rarely,Laboratory Technician,1,No,3038,55,132,22002,12,0,Very High,Medium,Better,Good,Very High,3,1,0,0,0,
98,No,31,Female,Single,8,Master,Life Sciences,1,11,2,Research & Development,Travel_Rarely,Manufacturing Director,2,No,4424,61,746,20682,23,0,Very High,High,Better,Best,High,4,11,1,7,8,
100,No,35,Male,Single,1,Master,Marketing,0,16,2,Sales,Travel_Rarely,Sales Executive,2,No,4312,32,776,23016,14,0,Low,High,Better,Good,Medium,3,15,2,13,8,
101,No,45,Male,Married,6,Master,Other,4,17,3,Research & Development,Travel_Rarely,Research Director,3,Yes,13245,52,193,15067,14,0,Low,Very High,Best,Good,High,3,0,0,0,0,
102,No,37,Male,Single,7,Master,Medical,4,16,3,Research & Development,Travel_Rarely,Research Director,3,No,13664,30,397,25258,13,0,High,Low,Best,Bad,High,3,5,0,2,2,
103,No,46,Male,Divorced,5,College,Medical,8,16,2,Human Resources,Travel_Rarely,Human Resources,2,Yes,5021,80,945,10425,22,1,Medium,Medium,Better,Best,High,4,4,0,2,2,
104,No,30,Male,Married,1,Below College,Life Sciences,1,10,1,Research & Development,Travel_Rarely,Laboratory Technician,2,Yes,5126,55,852,15998,12,2,Very High,Very High,Good,Better,Medium,3,10,3,8,0,
105,No,35,Male,Single,1,Bachelor,Medical,1,6,3,Research & Development,Travel_Rarely,Research Scientist,1,No,2859,30,1214,26278,18,0,High,Medium,Better,Bad,Medium,3,6,0,4,4,
106,No,55,Male,Married,1,College,Life Sciences,3,24,4,Sales,Travel_Rarely,Sales Executive,3,No,10239,70,111,18092,14,1,Very High,Low,Better,Best,High,3,1,1,0,0,
107,No,38,Female,Divorced,6,Bachelor,Medical,7,17,3,Research & Development,Non-Travel,Research Scientist,2,Yes,5329,79,573,15717,12,3,Very High,Medium,Better,Best,Low,3,13,1,11,9,
110,No,34,Male,Married,1,College,Medical,1,5,2,Research & Development,Travel_Rarely,Manufacturing Director,2,No,4325,94,1153,17736,15,0,Medium,Low,Better,Better,High,3,5,1,2,3,
112,No,56,Male,Single,7,Bachelor,Life Sciences,4,37,3,Research & Development,Travel_Rarely,Manufacturing Director,3,No,7260,49,1400,21698,11,0,Very High,Very High,Good,Bad,Low,3,6,0,4,2,
113,No,23,Male,Divorced,2,Below College,Technical Degree,3,3,3,Sales,Travel_Rarely,Sales Representative,1,No,2322,62,541,9518,13,1,Low,High,Better,Better,High,3,0,0,0,0,
116,No,51,Male,Married,9,Master,Life Sciences,3,10,4,Research & Development,Travel_Rarely,Laboratory Technician,1,No,2075,96,432,18725,23,2,Very High,Very High,Better,Good,High,4,4,0,2,3,
117,No,30,Male,Married,2,Bachelor,Life Sciences,1,11,3,Research & Development,Travel_Rarely,Healthcare Representative,2,No,4152,99,288,15830,19,3,Very High,High,Better,Bad,Medium,3,11,10,10,8,
118,Yes,46,Male,Single,9,College,Medical,1,9,3,Sales,Travel_Rarely,Sales Executive,3,No,9619,64,669,13596,16,0,Very High,High,Better,Best,Medium,3,9,4,8,7,
119,No,40,Male,Married,1,Master,Life Sciences,1,22,3,Research & Development,Travel_Frequently,Healthcare Representative,4,No,13503,78,530,14115,22,1,Medium,High,Good,Best,Medium,4,22,11,3,11,
120,No,51,Male,Single,21,Master,Marketing,0,11,2,Sales,Travel_Rarely,Sales Executive,2,Yes,5441,71,632,8423,22,0,Very High,High,Bad,Best,High,4,10,1,7,0,
121,No,30,Female,Divorced,4,College,Medical,1,11,4,Sales,Travel_Rarely,Sales Executive,2,Yes,5209,63,1334,19760,12,3,Medium,High,Good,Good,Medium,3,11,2,8,7,
124,No,46,Male,Married,1,Bachelor,Medical,2,21,5,Research & Development,Travel_Frequently,Healthcare Representative,3,Yes,10673,40,638,3142,13,1,Low,High,Good,Better,Medium,3,10,9,9,5,
125,No,32,Male,Single,6,Master,Medical,1,12,0,Sales,Travel_Rarely,Sales Executive,2,No,5010,87,1093,24301,16,0,High,Medium,Better,Bad,High,3,11,5,8,7,
126,No,54,Female,Married,2,Master,Technical Degree,9,16,5,Research & Development,Travel_Rarely,Research Director,3,No,13549,60,1217,24001,12,1,High,Low,Bad,Bad,High,3,4,0,3,3,
128,No,24,Female,Married,3,College,Other,0,4,2,Sales,Travel_Rarely,Sales Executive,2,No,4999,33,1353,17519,21,1,High,Low,Good,Bad,High,4,3,0,2,2,
129,No,28,Male,Married,4,Bachelor,Medical,1,5,3,Sales,Non-Travel,Sales Executive,2,No,4221,43,120,8863,15,0,High,Medium,Best,Good,High,3,5,0,4,4,
131,No,58,Male,Single,10,Master,Medical,0,38,1,Sales,Travel_Rarely,Sales Executive,4,No,13872,37,682,24409,13,0,High,Very High,Good,Better,High,3,37,1,10,8,
132,No,44,Male,Married,23,Bachelor,Medical,4,17,3,Research & Development,Non-Travel,Laboratory Technician,2,No,2042,67,489,25043,12,1,Medium,Medium,Best,Better,High,3,3,1,2,2,
133,Yes,37,Male,Divorced,6,Master,Human Resources,4,7,3,Human Resources,Travel_Rarely,Human Resources,1,Yes,2073,63,807,23648,22,0,Low,High,Better,Best,High,4,3,0,2,2,
134,No,32,Male,Single,1,Below College,Life Sciences,1,1,2,Research & Development,Travel_Rarely,Research Scientist,1,No,2956,71,827,15178,13,0,Low,Very High,Better,Best,High,3,1,0,0,0,
137,Yes,20,Female,Single,6,Bachelor,Life Sciences,1,1,5,Research & Development,Travel_Frequently,Laboratory Technician,1,Yes,2926,66,871,19783,18,0,Very High,Very High,Better,Good,Medium,3,1,1,0,0,
138,No,34,Female,Single,6,Master,Other,1,16,3,Research & Development,Travel_Rarely,Research Scientist,2,No,4809,41,665,12482,14,0,High,Low,Better,Better,High,3,16,2,13,10,
139,No,37,Male,Divorced,2,College,Life Sciences,5,17,2,Research & Development,Non-Travel,Healthcare Representative,2,No,5163,100,1040,15850,14,1,Very High,High,Best,Best,Medium,3,1,0,0,0,
140,No,59,Female,Married,2,Master,Human Resources,9,30,3,Human Resources,Non-Travel,Manager,5,No,18844,32,1420,21922,21,1,Very High,High,Better,Best,Medium,4,3,2,2,2,
141,No,50,Female,Married,1,Bachelor,Life Sciences,3,28,1,Research & Development,Travel_Frequently,Research Director,5,Yes,18172,73,1115,9755,19,0,Medium,Low,Good,Bad,High,3,8,0,3,7,
142,Yes,25,Male,Single,5,Bachelor,Marketing,1,6,1,Sales,Travel_Rarely,Sales Executive,2,Yes,5744,46,240,26959,11,0,High,High,Better,Best,Medium,3,6,0,4,3,
143,No,25,Male,Married,7,Below College,Medical,1,2,2,Research & Development,Travel_Rarely,Research Scientist,1,No,2889,64,1280,26897,11,2,Very High,Very High,Better,Better,Medium,3,2,2,2,1,
144,No,22,Female,Single,15,Bachelor,Medical,1,1,5,Research & Development,Travel_Rarely,Laboratory Technician,1,No,2871,59,534,23785,15,0,Very High,Medium,Better,Better,High,3,0,0,0,0,
145,No,51,Female,Single,1,Master,Medical,3,23,1,Research & Development,Travel_Frequently,Healthcare Representative,3,No,7484,30,1456,25796,20,0,Low,Low,Good,Better,Medium,4,13,12,12,8,
147,Yes,34,Male,Single,7,Bachelor,Life Sciences,1,9,3,Research & Development,Travel_Frequently,Laboratory Technician,2,Yes,6074,66,658,22887,24,0,High,Low,Better,Best,Low,4,9,0,7,6,
148,No,54,Female,Single,26,Bachelor,Human Resources,2,23,3,Human Resources,Non-Travel,Manager,4,Yes,17328,30,142,13871,12,0,Very High,Very High,Better,Better,Very High,3,5,4,3,4,
150,No,24,Male,Married,18,Below College,Life Sciences,0,6,2,Research & Development,Travel_Rarely,Laboratory Technician,1,No,2774,52,1127,13257,12,1,High,Medium,Better,Better,High,3,5,1,3,2,
151,No,34,Female,Divorced,6,Master,Life Sciences,6,12,3,Research & Development,Travel_Rarely,Research Scientist,2,No,4505,45,1031,15000,15,1,Medium,High,Better,Better,Medium,3,1,0,0,0,
152,No,37,Male,Single,3,Bachelor,Life Sciences,2,12,3,Sales,Travel_Rarely,Sales Executive,3,No,7428,87,1189,14506,12,0,Very High,High,Better,Bad,High,3,5,1,3,3,
153,No,34,Female,Single,5,Bachelor,Medical,2,14,6,Research & Development,Travel_Rarely,Manager,3,No,11631,45,1354,5615,12,0,Low,High,Better,Best,Medium,3,11,5,10,8,
154,No,36,Female,Married,11,College,Technical Degree,0,10,6,Sales,Travel_Frequently,Sales Executive,3,No,9738,92,1467,22952,14,1,Very High,Medium,Better,Better,High,3,9,2,7,8,
155,No,36,Female,Divorced,3,College,Life Sciences,5,7,2,Research & Development,Travel_Rarely,Laboratory Technician,1,No,2835,39,922,2561,22,1,Very High,Low,Better,Bad,High,4,1,0,0,0,
158,No,43,Male,Married,26,College,Life Sciences,1,25,3,Sales,Travel_Frequently,Manager,4,Yes,16959,92,394,19494,12,2,Very High,High,Best,Best,High,3,25,4,12,12,
159,No,30,Male,Divorced,23,Bachelor,Life Sciences,1,10,2,Research & Development,Travel_Frequently,Research Scientist,1,No,2613,96,1312,22310,25,3,High,Low,Good,Better,Low,4,10,0,7,9,
160,No,33,Male,Married,22,College,Marketing,0,8,2,Sales,Non-Travel,Sales Executive,2,No,6146,95,750,15480,13,1,Medium,High,Best,Bad,High,3,7,0,7,7,
161,Yes,56,Female,Married,14,Master,Life Sciences,9,7,2,Research & Development,Travel_Rarely,Research Scientist,1,Yes,4963,72,441,4510,18,3,Medium,Medium,Better,Bad,High,3,5,4,4,3,
162,No,51,Male,Single,6,Bachelor,Life Sciences,7,23,5,Research & Development,Travel_Rarely,Research Director,5,No,19537,51,684,6462,13,0,High,Low,Better,Better,High,3,20,15,18,15,
163,Yes,31,Male,Married,6,Master,Life Sciences,4,12,3,Sales,Travel_Rarely,Sales Executive,2,Yes,6172,76,249,20739,18,0,High,Medium,Good,Good,Low,3,7,7,7,7,
164,No,26,Female,Married,6,Bachelor,Other,1,5,3,Research & Development,Travel_Rarely,Research Scientist,1,No,2368,46,841,23300,19,0,Medium,High,Good,Better,Medium,3,5,4,4,3,
165,Yes,58,Female,Married,23,Master,Medical,1,40,3,Research & Development,Travel_Rarely,Healthcare Representative,3,No,10312,94,147,3465,12,1,Very High,Very High,Good,Best,High,3,40,15,10,6,
167,Yes,19,Male,Single,22,Below College,Marketing,1,0,2,Sales,Travel_Rarely,Sales Representative,1,Yes,1675,50,528,26820,19,0,High,Very High,Good,Best,High,3,0,0,0,0,
169,No,22,Male,Married,2,Below College,Technical Degree,0,3,2,Research & Development,Travel_Rarely,Laboratory Technician,1,No,2523,100,594,19299,14,1,Very High,High,Better,Better,High,3,2,2,1,1,
170,No,49,Female,Married,20,Master,Medical,1,16,2,Research & Development,Travel_Rarely,Manufacturing Director,2,No,6567,96,470,5549,14,0,Low,High,Good,Better,High,3,15,5,11,11,
171,No,43,Female,Single,28,Bachelor,Medical,4,18,2,Research & Development,Travel_Frequently,Research Scientist,1,No,4739,72,957,16090,12,0,High,Medium,Better,Best,Very High,3,3,1,2,2,
174,No,50,Female,Single,12,Bachelor,Marketing,4,16,3,Sales,Travel_Frequently,Sales Executive,3,No,9208,77,809,6645,11,0,Very High,High,Better,Best,High,3,2,2,2,1,
175,Yes,31,Female,Married,20,Bachelor,Life Sciences,3,4,2,Sales,Travel_Rarely,Sales Executive,2,Yes,4559,71,542,24788,11,1,High,Medium,Better,Better,Low,3,2,2,2,2,
176,No,41,Male,Divorced,9,Below College,Life Sciences,3,12,2,Sales,Travel_Rarely,Sales Executive,3,Yes,8189,96,802,21196,13,1,High,High,Better,Better,High,3,9,0,7,7,
177,No,26,Female,Married,25,Below College,Life Sciences,1,8,3,Human Resources,Travel_Rarely,Human Resources,1,No,2942,61,1355,8916,23,1,High,High,Better,Best,High,4,8,5,7,7,
178,No,36,Male,Divorced,6,College,Medical,6,7,0,Research & Development,Travel_Rarely,Manufacturing Director,2,No,4941,84,216,2819,20,2,Medium,Medium,Better,Best,High,4,3,0,2,1,
179,Yes,51,Male,Single,8,Master,Life Sciences,2,18,2,Research & Development,Travel_Frequently,Manufacturing Director,3,No,10650,53,1150,25150,15,0,Very High,Low,Better,Best,Low,3,4,0,2,3,
182,No,39,Female,Married,4,Master,Life Sciences,4,17,1,Sales,Travel_Rarely,Sales Executive,2,No,5902,47,1329,14590,14,1,High,Very High,Best,Better,Medium,3,15,5,11,9,
